seed,width,height,rl_success,rl_steps,rl_time,astar_success,astar_steps,astar_time
9884047,63,102,1,64,0.007213116,0,38,0.685618639
3037511,86,77,1,72,0.01164031,0,24,0.473245382
9572042,127,46,1,49,0.005272627,1,49,0.107315779
3751448,83,91,0,30,0.006062031,0,9,0.034639835
9988684,96,56,1,17,0.005316973,1,17,0.007732391
1059859,78,86,1,39,0.006116152,1,46,0.168499231
1695071,38,118,1,38,0.004183292,1,38,0.063985825
451751,77,121,1,107,0.013904333,1,77,0.502798557
4283084,118,48,1,133,0.015358686,0,25,0.122314215
9386211,43,66,1,61,0.006702423,0,27,0.342734814
3390912,41,116,1,44,0.005326509,1,44,0.09798789
2910404,50,105,1,44,0.005083799,1,44,0.254562378
8006255,32,101,1,31,0.003293514,1,31,0.094851732
8916554,39,87,1,15,0.001574039,1,15,0.010910988
628070,56,123,1,53,0.006483555,1,53,0.142161608
6153069,54,70,1,17,0.001957893,1,17,0.012327909
2195067,109,52,1,28,0.002968788,1,28,0.013996363
6984173,102,119,1,9,0.002159357,1,9,0.002989531
4821671,74,117,1,45,0.006786823,1,45,0.183964968
6705729,112,49,1,25,0.002707243,1,25,0.020202875
8640199,88,55,1,70,0.008599758,0,1,0.029989958
4190595,78,97,1,10,0.001621962,1,10,0.003994465
29333,81,115,1,37,0.006878138,1,37,0.16809535
1528264,97,113,1,159,0.02883625,1,37,0.126071453
9221077,80,60,1,39,0.005177259,1,32,0.085148335
6753469,42,82,1,12,0.002148867,1,11,0.003744125
6747123,85,65,1,19,0.002473354,1,19,0.012813568
7591958,102,101,1,46,0.009624481,1,34,0.095330715
5280387,42,108,1,101,0.009946108,1,101,0.465847731
4949342,87,107,1,127,0.022391558,1,52,0.11653161
3921743,81,44,1,36,0.003816605,1,40,0.075405836
9013936,34,121,1,59,0.005510092,1,59,0.236727238
9861003,112,108,0,128,0.029041529,0,32,1.063629866
6921339,34,53,1,6,0.000702858,1,6,0.000910044
5820920,40,101,0,31,0.003967762,0,32,0.129967451
2398142,102,80,1,39,0.008089066,0,28,0.111999512
286610,49,54,1,16,0.002414227,1,16,0.009238243
5836515,99,113,0,0,0,0,0,0
151384,116,76,1,68,0.011081219,0,24,0.271925449
7425611,114,90,1,125,0.02632761,1,53,0.133518934
7454402,67,72,1,1,0.00014019,1,1,5.10E-05
1224658,119,49,1,56,0.007507324,0,6,0.079730511
7606000,49,119,1,69,0.008415699,0,30,0.753796816
4918474,115,49,1,36,0.00435853,1,38,0.109116077
1126972,100,60,1,60,0.007996798,0,5,0.112008095
9800517,76,41,1,9,0.001075745,1,9,0.00342536
4812637,51,68,1,29,0.003509998,1,29,0.048762083
228185,56,105,1,88,0.012999296,0,34,0.371811867
8663015,120,83,1,69,0.012106895,0,22,0.540897846
5037821,66,92,1,103,0.012999773,1,48,0.132048368
4448480,126,74,1,93,0.015696526,0,35,1.142421246
4297248,34,108,1,57,0.006046534,1,57,0.348407507
832821,80,89,1,68,0.012786865,0,30,0.288610697
9895357,96,108,1,49,0.007369041,1,49,0.175947189
2392667,42,57,1,43,0.005914688,1,41,0.112704754
6460087,78,36,1,72,0.008471727,1,72,0.762359142
5354839,68,119,1,1,0.000135899,1,1,6.08E-05
691288,61,92,1,61,0.009259462,0,1,0.007683039
7734940,75,117,1,71,0.009797573,1,55,0.208234787
6451673,35,95,1,33,0.003854513,0,10,0.036643028
7546278,88,107,1,168,0.032387972,0,8,0.44317317
2952809,89,40,1,18,0.002373457,1,18,0.01645875
